id,name,brand,category,price,embedding_text
11,Reebok Elite Koşu Boost,Reebok,Koşu Ayakkabısı,3780.0,"Reebok Elite Koşu Boost. Marka: Reebok. Kategori: Koşu Ayakkabısı. Reebok Elite Koşu Boost, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş burun, yüksek koşu verimi. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: geniş burun, yüksek koşu verimi. Fiyat: 3780.0 TL. Sezon: yazlık. Renk: Yeşil. Cinsiyet: erkek."
12,Columbia Profesyonel Koşu X,Columbia,Koşu Ayakkabısı,2670.0,"Columbia Profesyonel Koşu X. Marka: Columbia. Kategori: Koşu Ayakkabısı. Columbia Profesyonel Koşu X, Columbia tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yastıklı taban, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: yastıklı taban, karbon plaka. Fiyat: 2670.0 TL. Sezon: yazlık. Renk: Turuncu. Cinsiyet: kadın."
13,New Balance Pro Spor V2,New Balance,Spor Tişört,200.0,"New Balance Pro Spor V2. Marka: New Balance. Kategori: Spor Tişört. New Balance Pro Spor V2, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: reflektif bant, antimikrobiyal. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: reflektif bant, antimikrobiyal. Fiyat: 200.0 TL. Sezon: yazlık. Renk: Mavi. Cinsiyet: unisex."
14,Salomon Profesyonel Spor Lite,Salomon,Spor Ayakkabı,430.0,"Salomon Profesyonel Spor Lite. Marka: Salomon. Kategori: Spor Ayakkabı. Salomon Profesyonel Spor Lite, Salomon tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, terletmeyen, ortopedik. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: nefes alan, terletmeyen, ortopedik. Fiyat: 430.0 TL. Sezon: yazlık. Renk: Sarı. Cinsiyet: unisex."
15,Skechers Pro Spor Boost,Skechers,Spor Şort,250.0,"Skechers Pro Spor Boost. Marka: Skechers. Kategori: Spor Şort. Skechers Pro Spor Boost, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: esnek bel, hafif. Fiyat: 250.0 TL. Sezon: yazlık. Renk: Mor. Cinsiyet: erkek."
16,Adidas Ultra Spor 3.0,Adidas,Spor Şort,520.0,"Adidas Ultra Spor 3.0. Marka: Adidas. Kategori: Spor Şort. Adidas Ultra Spor 3.0, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, geniş kesim. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: esnek bel, geniş kesim. Fiyat: 520.0 TL. Sezon: yazlık. Renk: Gri. Cinsiyet: kadın."
17,Asics Profesyonel Koşu X,Asics,Koşu Ayakkabısı,3020.0,"Asics Profesyonel Koşu X. Marka: Asics. Kategori: Koşu Ayakkabısı. Asics Profesyonel Koşu X, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek koşu verimi, karbon plaka, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: yüksek koşu verimi, karbon plaka, hafif, geniş burun. Fiyat: 3020.0 TL. Sezon: 4 mevsim. Renk: Yeşil. Cinsiyet: unisex."
18,Nike Pro Spor 3.0,Nike,Spor Tişört,450.0,"Nike Pro Spor 3.0. Marka: Nike. Kategori: Spor Tişört. Nike Pro Spor 3.0, Nike tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: UV korumalı, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: UV korumalı, hızlı kuruyan. Fiyat: 450.0 TL. Sezon: yazlık. Renk: Beyaz. Cinsiyet: unisex."
19,Puma Comfort Spor 3.0,Puma,Spor Ayakkabı,940.0,"Puma Comfort Spor 3.0. Marka: Puma. Kategori: Spor Ayakkabı. Puma Comfort Spor 3.0, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek taban, su geçirmez, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: yüksek taban, su geçirmez, hafif, terletmeyen, amortisörlü. Fiyat: 940.0 TL. Sezon: yazlık. Renk: Kırmızı. Cinsiyet: kadın."
20,Columbia Elite Spor Lite,Columbia,Spor Şort,520.0,"Columbia Elite Spor Lite. Marka: Columbia. Kategori: Spor Şort. Columbia Elite Spor Lite, Columbia tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, dar kesim, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: esnek bel, dar kesim, hızlı kuruyan, geniş kesim. Fiyat: 520.0 TL. Sezon: yazlık. Renk: Beyaz. Cinsiyet: erkek."
21,Reebok Profesyonel Spor Max,Reebok,Spor Ayakkabı,1300.0,"Reebok Profesyonel Spor Max. Marka: Reebok. Kategori: Spor Ayakkabı. Reebok Profesyonel Spor Max, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: kaymaz taban, yüksek taban, terletmeyen. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: kaymaz taban, yüksek taban, terletmeyen. Fiyat: 1300.0 TL. Sezon: 4 mevsim. Renk: Sarı. Cinsiyet: kadın."
22,New Balance Elite Spor Lite,New Balance,Spor Tişört,330.0,"New Balance Elite Spor Lite. Marka: New Balance. Kategori: Spor Tişört. New Balance Elite Spor Lite, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: antimikrobiyal, hafif, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: antimikrobiyal, hafif, hızlı kuruyan, UV korumalı, reflektif bant. Fiyat: 330.0 TL. Sezon: yazlık. Renk: Gri. Cinsiyet: kadın."
23,Asics Speed Spor Lite,Asics,Spor Ayakkabı,380.0,"Asics Speed Spor Lite. Marka: Asics. Kategori: Spor Ayakkabı. Asics Speed Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, nefes alan, amortisörlü. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hafif, nefes alan, amortisörlü, su geçirmez. Fiyat: 380.0 TL. Sezon: yazlık. Renk: Lacivert. Cinsiyet: erkek."
24,Reebok Ultra Spor V2,Reebok,Spor Ayakkabı,3460.0,"Reebok Ultra Spor V2. Marka: Reebok. Kategori: Spor Ayakkabı. Reebok Ultra Spor V2, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: terletmeyen, ortopedik, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: terletmeyen, ortopedik, hafif, amortisörlü, yüksek taban. Fiyat: 3460.0 TL. Sezon: yazlık. Renk: Mor. Cinsiyet: kadın."
25,New Balance Pro Koşu Plus,New Balance,Koşu Ayakkabısı,1940.0,"New Balance Pro Koşu Plus. Marka: New Balance. Kategori: Koşu Ayakkabısı. New Balance Pro Koşu Plus, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş burun, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: geniş burun, hafif. Fiyat: 1940.0 TL. Sezon: yazlık. Renk: Mavi. Cinsiyet: kadın."
26,Reebok Elite Spor Boost,Reebok,Spor Tişört,950.0,"Reebok Elite Spor Boost. Marka: Reebok. Kategori: Spor Tişört. Reebok Elite Spor Boost, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, reflektif bant. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hafif, reflektif bant. Fiyat: 950.0 TL. Sezon: 4 mevsim. Renk: Siyah. Cinsiyet: kadın."
27,Nike Elite Koşu 3.0,Nike,Koşu Ayakkabısı,3040.0,"Nike Elite Koşu 3.0. Marka: Nike. Kategori: Koşu Ayakkabısı. Nike Elite Koşu 3.0, Nike tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş burun, karbon plaka, nefes alan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: geniş burun, karbon plaka, nefes alan, yüksek koşu verimi, hafif. Fiyat: 3040.0 TL. Sezon: yazlık. Renk: Sarı. Cinsiyet: kadın."
28,Under Armour Pro Koşu Boost,Under Armour,Koşu Ayakkabısı,730.0,"Under Armour Pro Koşu Boost. Marka: Under Armour. Kategori: Koşu Ayakkabısı. Under Armour Pro Koşu Boost, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, nefes alan, yüksek koşu verimi. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hafif, nefes alan, yüksek koşu verimi, yastıklı taban, karbon plaka. Fiyat: 730.0 TL. Sezon: yazlık. Renk: Mor. Cinsiyet: unisex."
29,Adidas Speed Koşu V2,Adidas,Koşu Ayakkabısı,990.0,"Adidas Speed Koşu V2. Marka: Adidas. Kategori: Koşu Ayakkabısı. Adidas Speed Koşu V2, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş burun, hafif, yüksek koşu verimi. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: geniş burun, hafif, yüksek koşu verimi, karbon plaka, amortisörlü. Fiyat: 990.0 TL. Sezon: yazlık. Renk: Gri. Cinsiyet: erkek."
30,Under Armour Speed Spor Plus,Under Armour,Spor Ayakkabı,640.0,"Under Armour Speed Spor Plus. Marka: Under Armour. Kategori: Spor Ayakkabı. Under Armour Speed Spor Plus, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, ortopedik, kaymaz taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hafif, ortopedik, kaymaz taban, su geçirmez. Fiyat: 640.0 TL. Sezon: yazlık. Renk: Turuncu. Cinsiyet: kadın."
31,Under Armour Air Spor V2,Under Armour,Spor Şort,530.0,"Under Armour Air Spor V2. Marka: Under Armour. Kategori: Spor Şort. Under Armour Air Spor V2, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hızlı kuruyan, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hızlı kuruyan, hafif. Fiyat: 530.0 TL. Sezon: yazlık. Renk: Sarı. Cinsiyet: kadın."
33,New Balance Pro Koşu Lite,New Balance,Koşu Ayakkabısı,1990.0,"New Balance Pro Koşu Lite. Marka: New Balance. Kategori: Koşu Ayakkabısı. New Balance Pro Koşu Lite, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, amortisörlü, geniş burun. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: nefes alan, amortisörlü, geniş burun, hafif. Fiyat: 1990.0 TL. Sezon: 4 mevsim. Renk: Mor. Cinsiyet: unisex."
34,New Balance Ultra Spor Lite,New Balance,Spor Tişört,460.0,"New Balance Ultra Spor Lite. Marka: New Balance. Kategori: Spor Tişört. New Balance Ultra Spor Lite, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: UV korumalı, antimikrobiyal, reflektif bant. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: UV korumalı, antimikrobiyal, reflektif bant, hafif, nem emici. Fiyat: 460.0 TL. Sezon: yazlık. Renk: Kırmızı. Cinsiyet: kadın."
35,Skechers Profesyonel Spor Boost,Skechers,Spor Tişört,440.0,"Skechers Profesyonel Spor Boost. Marka: Skechers. Kategori: Spor Tişört. Skechers Profesyonel Spor Boost, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: reflektif bant, UV korumalı. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: reflektif bant, UV korumalı. Fiyat: 440.0 TL. Sezon: 4 mevsim. Renk: Turuncu. Cinsiyet: kadın."
36,Puma Ultra Spor Boost,Puma,Spor Ayakkabı,2830.0,"Puma Ultra Spor Boost. Marka: Puma. Kategori: Spor Ayakkabı. Puma Ultra Spor Boost, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, amortisörlü, terletmeyen. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: hafif, amortisörlü, terletmeyen, ortopedik. Fiyat: 2830.0 TL. Sezon: kışlık. Renk: Sarı. Cinsiyet: unisex."
37,Puma Ultra Spor V2,Puma,Spor Ayakkabı,1800.0,"Puma Ultra Spor V2. Marka: Puma. Kategori: Spor Ayakkabı. Puma Ultra Spor V2, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: su geçirmez, terletmeyen. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: su geçirmez, terletmeyen. Fiyat: 1800.0 TL. Sezon: kışlık. Renk: Sarı. Cinsiyet: kadın."
38,Columbia Ultra Spor Lite,Columbia,Spor Ayakkabı,2840.0,"Columbia Ultra Spor Lite. Marka: Columbia. Kategori: Spor Ayakkabı. Columbia Ultra Spor Lite, Columbia tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: ortopedik, nefes alan, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: ortopedik, nefes alan, hafif. Fiyat: 2840.0 TL. Sezon: yazlık. Renk: Lacivert. Cinsiyet: erkek."
39,Skechers Profesyonel Koşu Max,Skechers,Koşu Ayakkabısı,620.0,"Skechers Profesyonel Koşu Max. Marka: Skechers. Kategori: Koşu Ayakkabısı. Skechers Profesyonel Koşu Max, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, geniş burun. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: nefes alan, geniş burun. Fiyat: 620.0 TL. Sezon: 4 mevsim. Renk: Gri. Cinsiyet: unisex."
40,Skechers Pro Spor Plus,Skechers,Spor Ayakkabı,1220.0,"Skechers Pro Spor Plus. Marka: Skechers. Kategori: Spor Ayakkabı. Skechers Pro Spor Plus, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: kaymaz taban, amortisörlü, terletmeyen. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: kaymaz taban, amortisörlü, terletmeyen, hafif. Fiyat: 1220.0 TL. Sezon: kışlık. Renk: Turuncu. Cinsiyet: kadın."
41,Columbia Air Koşu X,Columbia,Koşu Ayakkabısı,3920.0,"Columbia Air Koşu X. Marka: Columbia. Kategori: Koşu Ayakkabısı. Columbia Air Koşu X, Columbia tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, yastıklı taban, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: nefes alan, yastıklı taban, karbon plaka, hafif, yüksek koşu verimi. Fiyat: 3920.0 TL. Sezon: 4 mevsim. Renk: Turuncu. Cinsiyet: unisex."
42,Adidas Ultra Koşu Boost,Adidas,Koşu Ayakkabısı,2790.0,"Adidas Ultra Koşu Boost. Marka: Adidas. Kategori: Koşu Ayakkabısı. Adidas Ultra Koşu Boost, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, yastıklı taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: nefes alan, yastıklı taban. Fiyat: 2790.0 TL. Sezon: yazlık. Renk: Gri. Cinsiyet: kadın."
43,Reebok Pro Spor Boost,Reebok,Spor Şort,480.0,"Reebok Pro Spor Boost. Marka: Reebok. Kategori: Spor Şort. Reebok Pro Spor Boost, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, hızlı kuruyan, geniş kesim. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: esnek bel, hızlı kuruyan, geniş kesim, hafif. Fiyat: 480.0 TL. Sezon: yazlık. Renk: Turuncu. Cinsiyet: erkek."
44,Reebok Profesyonel Spor 3.0,Reebok,Spor Tişört,970.0,"Reebok Profesyonel Spor 3.0. Marka: Reebok. Kategori: Spor Tişört. Reebok Profesyonel Spor 3.0, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: antimikrobiyal, elastik, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: antimikrobiyal, elastik, hafif, hızlı kuruyan, reflektif bant. Fiyat: 970.0 TL. Sezon: yazlık. Renk: Mor. Cinsiyet: erkek."
45,Reebok Air Spor Lite,Reebok,Spor Tişört,700.0,"Reebok Air Spor Lite. Marka: Reebok. Kategori: Spor Tişört. Reebok Air Spor Lite, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nem emici, elastik, UV korumalı. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: nem emici, elastik, UV korumalı. Fiyat: 700.0 TL. Sezon: 4 mevsim. Renk: Yeşil. Cinsiyet: unisex."
46,Asics Ultra Spor Lite,Asics,Spor Tişört,740.0,"Asics Ultra Spor Lite. Marka: Asics. Kategori: Spor Tişört. Asics Ultra Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: elastik, nem emici. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: elastik, nem emici. Fiyat: 740.0 TL. Sezon: yazlık. Renk: Lacivert. Cinsiyet: kadın."
47,Salomon Comfort Koşu Boost,Salomon,Koşu Ayakkabısı,2740.0,"Salomon Comfort Koşu Boost. Marka: Salomon. Kategori: Koşu Ayakkabısı. Salomon Comfort Koşu Boost, Salomon tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: karbon plaka, yüksek koşu verimi, yastıklı taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: karbon plaka, yüksek koşu verimi, yastıklı taban. Fiyat: 2740.0 TL. Sezon: 4 mevsim. Renk: Kırmızı. Cinsiyet: unisex."
48,Skechers Pro Spor Max,Skechers,Spor Ayakkabı,3030.0,"Skechers Pro Spor Max. Marka: Skechers. Kategori: Spor Ayakkabı. Skechers Pro Spor Max, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, kaymaz taban, su geçirmez. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: nefes alan, kaymaz taban, su geçirmez, yüksek taban. Fiyat: 3030.0 TL. Sezon: kışlık. Renk: Yeşil. Cinsiyet: erkek."
49,Asics Air Koşu Boost,Asics,Koşu Ayakkabısı,3550.0,"Asics Air Koşu Boost. Marka: Asics. Kategori: Koşu Ayakkabısı. Asics Air Koşu Boost, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: amortisörlü, hafif, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: amortisörlü, hafif, karbon plaka. Fiyat: 3550.0 TL. Sezon: yazlık. Renk: Gri. Cinsiyet: unisex."
50,Asics Pro Spor Lite,Asics,Spor Ayakkabı,2960.0,"Asics Pro Spor Lite. Marka: Asics. Kategori: Spor Ayakkabı. Asics Pro Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: su geçirmez, hafif, nefes alan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: su geçirmez, hafif, nefes alan, ortopedik, amortisörlü. Fiyat: 2960.0 TL. Sezon: 4 mevsim. Renk: Gri. Cinsiyet: unisex."
52,Reebok Profesyonel Spor V2,Reebok,Spor Şort,260.0,"Reebok Profesyonel Spor V2. Marka: Reebok. Kategori: Spor Şort. Reebok Profesyonel Spor V2, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar. Özellikler: esnek bel, hızlı kuruyan. Fiyat: 260.0 TL. Sezon: yazlık. Renk: Beyaz. Cinsiyet: erkek."
