id,name,brand,category,description,price,original_price,stock_quantity,gender,season,color,sizes,features,rating,review_count,is_active
11,Reebok Elite Koşu Boost,Reebok,Koşu Ayakkabısı,"Reebok Elite Koşu Boost, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş burun, yüksek koşu verimi. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",3780.0,3780.0,27,erkek,yazlık,Yeşil,"[""36"", ""37"", ""38"", ""39"", ""42"", ""43"", ""44"", ""45""]","[""geni\u015f burun"", ""y\u00fcksek ko\u015fu verimi""]",3.5,97,True
12,Columbia Profesyonel Koşu X,Columbia,Koşu Ayakkabısı,"Columbia Profesyonel Koşu X, Columbia tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yastıklı taban, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2670.0,2670.0,15,kadın,yazlık,Turuncu,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]","[""yast\u0131kl\u0131 taban"", ""karbon plaka""]",3.3,1,True
13,New Balance Pro Spor V2,New Balance,Spor Tişört,"New Balance Pro Spor V2, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: reflektif bant, antimikrobiyal. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",200.0,200.0,128,unisex,yazlık,Mavi,"[""L"", ""XL"", ""XS"", ""XXL""]","[""reflektif bant"", ""antimikrobiyal""]",4.8,271,True
14,Salomon Profesyonel Spor Lite,Salomon,Spor Ayakkabı,"Salomon Profesyonel Spor Lite, Salomon tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, terletmeyen, ortopedik. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",430.0,590.0,144,unisex,yazlık,Sarı,"[""37"", ""38"", ""39"", ""41"", ""43"", ""45""]","[""nefes alan"", ""terletmeyen"", ""ortopedik""]",4.0,478,True
15,Skechers Pro Spor Boost,Skechers,Spor Şort,"Skechers Pro Spor Boost, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",250.0,370.0,17,erkek,yazlık,Mor,"[""L"", ""M"", ""S"", ""XL"", ""XS""]","[""esnek bel"", ""hafif""]",4.8,189,True
16,Adidas Ultra Spor 3.0,Adidas,Spor Şort,"Adidas Ultra Spor 3.0, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, geniş kesim. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",520.0,520.0,52,kadın,yazlık,Gri,"[""L"", ""M"", ""XL"", ""XS"", ""XXL""]","[""esnek bel"", ""geni\u015f kesim""]",4.4,436,True
17,Asics Profesyonel Koşu X,Asics,Koşu Ayakkabısı,"Asics Profesyonel Koşu X, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek koşu verimi, karbon plaka, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",3020.0,4460.0,176,unisex,4 mevsim,Yeşil,"[""38"", ""39"", ""41"", ""44""]","[""y\u00fcksek ko\u015fu verimi"", ""karbon plaka"", ""hafif"", ""geni\u015f burun""]",4.8,279,True
18,Nike Pro Spor 3.0,Nike,Spor Tişört,"Nike Pro Spor 3.0, Nike tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: UV korumalı, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",450.0,450.0,104,unisex,yazlık,Beyaz,"[""L"", ""S"", ""XL"", ""XXL""]","[""UV korumal\u0131"", ""h\u0131zl\u0131 kuruyan""]",4.9,383,True
19,Puma Comfort Spor 3.0,Puma,Spor Ayakkabı,"Puma Comfort Spor 3.0, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek taban, su geçirmez, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",940.0,940.0,89,kadın,yazlık,Kırmızı,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]","[""y\u00fcksek taban"", ""su ge\u00e7irmez"", ""hafif"", ""terletmeyen"", ""amortis\u00f6rl\u00fc""]",3.6,407,True
20,Columbia Elite Spor Lite,Columbia,Spor Şort,"Columbia Elite Spor Lite, Columbia tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, dar kesim, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",520.0,520.0,80,erkek,yazlık,Beyaz,"[""L"", ""S"", ""XL"", ""XXL""]","[""esnek bel"", ""dar kesim"", ""h\u0131zl\u0131 kuruyan"", ""geni\u015f kesim""]",3.9,261,True
21,Reebok Profesyonel Spor Max,Reebok,Spor Ayakkabı,"Reebok Profesyonel Spor Max, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: kaymaz taban, yüksek taban, terletmeyen. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",1300.0,1300.0,184,kadın,4 mevsim,Sarı,"[""38"", ""40"", ""41"", ""42"", ""44"", ""45""]","[""kaymaz taban"", ""y\u00fcksek taban"", ""terletmeyen""]",4.8,259,True
22,New Balance Elite Spor Lite,New Balance,Spor Tişört,"New Balance Elite Spor Lite, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: antimikrobiyal, hafif, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",330.0,330.0,155,kadın,yazlık,Gri,"[""L"", ""M"", ""S"", ""XS"", ""XXL""]","[""antimikrobiyal"", ""hafif"", ""h\u0131zl\u0131 kuruyan"", ""UV korumal\u0131"", ""reflektif bant""]",4.3,238,True
23,Asics Speed Spor Lite,Asics,Spor Ayakkabı,"Asics Speed Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, nefes alan, amortisörlü. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",380.0,490.0,196,erkek,yazlık,Lacivert,"[""36"", ""37"", ""38"", ""39"", ""40"", ""42"", ""43"", ""44"", ""45""]","[""hafif"", ""nefes alan"", ""amortis\u00f6rl\u00fc"", ""su ge\u00e7irmez""]",3.1,212,True
24,Reebok Ultra Spor V2,Reebok,Spor Ayakkabı,"Reebok Ultra Spor V2, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: terletmeyen, ortopedik, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",3460.0,3460.0,193,kadın,yazlık,Mor,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]","[""terletmeyen"", ""ortopedik"", ""hafif"", ""amortis\u00f6rl\u00fc"", ""y\u00fcksek taban""]",4.8,313,True
25,New Balance Pro Koşu Plus,New Balance,Koşu Ayakkabısı,"New Balance Pro Koşu Plus, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş burun, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",1940.0,1940.0,35,kadın,yazlık,Mavi,"[""36"", ""37"", ""38"", ""39"", ""41"", ""42"", ""43"", ""44"", ""45""]","[""geni\u015f burun"", ""hafif""]",3.3,196,True
26,Reebok Elite Spor Boost,Reebok,Spor Tişört,"Reebok Elite Spor Boost, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, reflektif bant. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",950.0,1190.0,107,kadın,4 mevsim,Siyah,"[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]","[""hafif"", ""reflektif bant""]",4.1,376,True
27,Nike Elite Koşu 3.0,Nike,Koşu Ayakkabısı,"Nike Elite Koşu 3.0, Nike tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş burun, karbon plaka, nefes alan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",3040.0,4130.0,34,kadın,yazlık,Sarı,"[""37"", ""40"", ""41"", ""42""]","[""geni\u015f burun"", ""karbon plaka"", ""nefes alan"", ""y\u00fcksek ko\u015fu verimi"", ""hafif""]",4.7,93,True
28,Under Armour Pro Koşu Boost,Under Armour,Koşu Ayakkabısı,"Under Armour Pro Koşu Boost, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, nefes alan, yüksek koşu verimi. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",730.0,730.0,57,unisex,yazlık,Mor,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""44"", ""45""]","[""hafif"", ""nefes alan"", ""y\u00fcksek ko\u015fu verimi"", ""yast\u0131kl\u0131 taban"", ""karbon plaka""]",4.3,399,True
29,Adidas Speed Koşu V2,Adidas,Koşu Ayakkabısı,"Adidas Speed Koşu V2, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş burun, hafif, yüksek koşu verimi. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",990.0,1210.0,173,erkek,yazlık,Gri,"[""36"", ""37"", ""38"", ""39"", ""41"", ""42"", ""45""]","[""geni\u015f burun"", ""hafif"", ""y\u00fcksek ko\u015fu verimi"", ""karbon plaka"", ""amortis\u00f6rl\u00fc""]",4.8,192,True
30,Under Armour Speed Spor Plus,Under Armour,Spor Ayakkabı,"Under Armour Speed Spor Plus, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, ortopedik, kaymaz taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",640.0,640.0,162,kadın,yazlık,Turuncu,"[""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]","[""hafif"", ""ortopedik"", ""kaymaz taban"", ""su ge\u00e7irmez""]",4.8,235,True
31,Under Armour Air Spor V2,Under Armour,Spor Şort,"Under Armour Air Spor V2, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hızlı kuruyan, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",530.0,530.0,7,kadın,yazlık,Sarı,"[""L"", ""M"", ""S"", ""XL""]","[""h\u0131zl\u0131 kuruyan"", ""hafif""]",4.0,166,True
32,Asics Speed Spor Lite,Asics,Spor Şort,"Asics Speed Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş kesim, esnek bel, fermuarlı cep. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",440.0,440.0,176,unisex,yazlık,Yeşil,"[""L"", ""S"", ""XL"", ""XS"", ""XXL""]","[""geni\u015f kesim"", ""esnek bel"", ""fermuarl\u0131 cep"", ""dar kesim""]",4.0,364,True
33,New Balance Pro Koşu Lite,New Balance,Koşu Ayakkabısı,"New Balance Pro Koşu Lite, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, amortisörlü, geniş burun. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",1990.0,1990.0,69,unisex,4 mevsim,Mor,"[""37"", ""39"", ""41"", ""44""]","[""nefes alan"", ""amortis\u00f6rl\u00fc"", ""geni\u015f burun"", ""hafif""]",3.6,118,True
34,New Balance Ultra Spor Lite,New Balance,Spor Tişört,"New Balance Ultra Spor Lite, New Balance tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: UV korumalı, antimikrobiyal, reflektif bant. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",460.0,460.0,181,kadın,yazlık,Kırmızı,"[""L"", ""M"", ""XL"", ""XS""]","[""UV korumal\u0131"", ""antimikrobiyal"", ""reflektif bant"", ""hafif"", ""nem emici""]",4.1,140,True
35,Skechers Profesyonel Spor Boost,Skechers,Spor Tişört,"Skechers Profesyonel Spor Boost, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: reflektif bant, UV korumalı. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",440.0,440.0,64,kadın,4 mevsim,Turuncu,"[""L"", ""XL"", ""XS"", ""XXL""]","[""reflektif bant"", ""UV korumal\u0131""]",4.9,244,True
36,Puma Ultra Spor Boost,Puma,Spor Ayakkabı,"Puma Ultra Spor Boost, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, amortisörlü, terletmeyen. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2830.0,3700.0,115,unisex,kışlık,Sarı,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]","[""hafif"", ""amortis\u00f6rl\u00fc"", ""terletmeyen"", ""ortopedik""]",4.8,152,True
37,Puma Ultra Spor V2,Puma,Spor Ayakkabı,"Puma Ultra Spor V2, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: su geçirmez, terletmeyen. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",1800.0,2190.0,72,kadın,kışlık,Sarı,"[""39"", ""40"", ""43"", ""45""]","[""su ge\u00e7irmez"", ""terletmeyen""]",4.4,232,True
38,Columbia Ultra Spor Lite,Columbia,Spor Ayakkabı,"Columbia Ultra Spor Lite, Columbia tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: ortopedik, nefes alan, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2840.0,2840.0,145,erkek,yazlık,Lacivert,"[""38"", ""40"", ""42"", ""43""]","[""ortopedik"", ""nefes alan"", ""hafif""]",4.8,224,True
39,Skechers Profesyonel Koşu Max,Skechers,Koşu Ayakkabısı,"Skechers Profesyonel Koşu Max, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, geniş burun. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",620.0,850.0,147,unisex,4 mevsim,Gri,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]","[""nefes alan"", ""geni\u015f burun""]",4.2,10,True
40,Skechers Pro Spor Plus,Skechers,Spor Ayakkabı,"Skechers Pro Spor Plus, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: kaymaz taban, amortisörlü, terletmeyen. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",1220.0,1220.0,194,kadın,kışlık,Turuncu,"[""36"", ""40"", ""41"", ""45""]","[""kaymaz taban"", ""amortis\u00f6rl\u00fc"", ""terletmeyen"", ""hafif""]",4.1,232,True
41,Columbia Air Koşu X,Columbia,Koşu Ayakkabısı,"Columbia Air Koşu X, Columbia tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, yastıklı taban, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",3920.0,5170.0,73,unisex,4 mevsim,Turuncu,"[""36"", ""37"", ""38"", ""39"", ""41"", ""44"", ""45""]","[""nefes alan"", ""yast\u0131kl\u0131 taban"", ""karbon plaka"", ""hafif"", ""y\u00fcksek ko\u015fu verimi""]",3.9,357,True
42,Adidas Ultra Koşu Boost,Adidas,Koşu Ayakkabısı,"Adidas Ultra Koşu Boost, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, yastıklı taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2790.0,4000.0,120,kadın,yazlık,Gri,"[""36"", ""38"", ""39"", ""42"", ""45""]","[""nefes alan"", ""yast\u0131kl\u0131 taban""]",3.5,282,True
43,Reebok Pro Spor Boost,Reebok,Spor Şort,"Reebok Pro Spor Boost, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, hızlı kuruyan, geniş kesim. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",480.0,480.0,141,erkek,yazlık,Turuncu,"[""L"", ""M"", ""S"", ""XL"", ""XXL""]","[""esnek bel"", ""h\u0131zl\u0131 kuruyan"", ""geni\u015f kesim"", ""hafif""]",4.5,193,True
44,Reebok Profesyonel Spor 3.0,Reebok,Spor Tişört,"Reebok Profesyonel Spor 3.0, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: antimikrobiyal, elastik, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",970.0,970.0,25,erkek,yazlık,Mor,"[""L"", ""M"", ""XL"", ""XS""]","[""antimikrobiyal"", ""elastik"", ""hafif"", ""h\u0131zl\u0131 kuruyan"", ""reflektif bant""]",4.7,225,True
45,Reebok Air Spor Lite,Reebok,Spor Tişört,"Reebok Air Spor Lite, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nem emici, elastik, UV korumalı. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",700.0,700.0,172,unisex,4 mevsim,Yeşil,"[""L"", ""M"", ""XL"", ""XS"", ""XXL""]","[""nem emici"", ""elastik"", ""UV korumal\u0131""]",4.7,194,True
46,Asics Ultra Spor Lite,Asics,Spor Tişört,"Asics Ultra Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: elastik, nem emici. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",740.0,740.0,11,kadın,yazlık,Lacivert,"[""L"", ""M"", ""XL"", ""XS"", ""XXL""]","[""elastik"", ""nem emici""]",3.6,28,True
47,Salomon Comfort Koşu Boost,Salomon,Koşu Ayakkabısı,"Salomon Comfort Koşu Boost, Salomon tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: karbon plaka, yüksek koşu verimi, yastıklı taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2740.0,2740.0,59,unisex,4 mevsim,Kırmızı,"[""36"", ""37"", ""38"", ""40"", ""41"", ""43"", ""45""]","[""karbon plaka"", ""y\u00fcksek ko\u015fu verimi"", ""yast\u0131kl\u0131 taban""]",3.9,130,True
48,Skechers Pro Spor Max,Skechers,Spor Ayakkabı,"Skechers Pro Spor Max, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: nefes alan, kaymaz taban, su geçirmez. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",3030.0,3800.0,91,erkek,kışlık,Yeşil,"[""36"", ""40"", ""42"", ""43"", ""44"", ""45""]","[""nefes alan"", ""kaymaz taban"", ""su ge\u00e7irmez"", ""y\u00fcksek taban""]",4.1,358,True
49,Asics Air Koşu Boost,Asics,Koşu Ayakkabısı,"Asics Air Koşu Boost, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: amortisörlü, hafif, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",3550.0,3550.0,168,unisex,yazlık,Gri,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44""]","[""amortis\u00f6rl\u00fc"", ""hafif"", ""karbon plaka""]",4.4,70,True
50,Asics Pro Spor Lite,Asics,Spor Ayakkabı,"Asics Pro Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: su geçirmez, hafif, nefes alan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2960.0,4230.0,123,unisex,4 mevsim,Gri,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""43"", ""44"", ""45""]","[""su ge\u00e7irmez"", ""hafif"", ""nefes alan"", ""ortopedik"", ""amortis\u00f6rl\u00fc""]",4.9,151,True
51,Reebok Profesyonel Spor 3.0,Reebok,Spor Ayakkabı,"Reebok Profesyonel Spor 3.0, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: amortisörlü, su geçirmez. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2170.0,2170.0,95,unisex,4 mevsim,Gri,"[""36"", ""37"", ""39"", ""40"", ""41"", ""44"", ""45""]","[""amortis\u00f6rl\u00fc"", ""su ge\u00e7irmez""]",3.2,119,True
52,Reebok Profesyonel Spor V2,Reebok,Spor Şort,"Reebok Profesyonel Spor V2, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: esnek bel, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",260.0,260.0,99,erkek,yazlık,Beyaz,"[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]","[""esnek bel"", ""h\u0131zl\u0131 kuruyan""]",3.9,343,True
